Position,XY,XZ,YZ,
255,0.82462,0.80060,0.84109,
256,0.82371,0.80099,0.84223,
257,0.82249,0.80242,0.84293,
258,0.82077,0.80462,0.84324,
259,0.81934,0.80610,0.84312,
260,0.81760,0.80752,0.84217,
261,0.81517,0.80896,0.84134,
262,0.81230,0.80986,0.83975,
263,0.80907,0.81098,0.83793,
264,0.80572,0.81185,0.83660,
265,0.80285,0.81239,0.83465,
266,0.80119,0.81274,0.83205,
267,0.80036,0.81335,0.82907,
268,0.79948,0.81477,0.82568,
269,0.79871,0.81572,0.82241,
270,0.79834,0.81620,0.81973,
271,0.79850,0.81682,0.81692,
272,0.79919,0.81661,0.81435,
273,0.79968,0.81602,0.81346,
274,0.80094,0.81606,0.81245,
275,0.80192,0.81662,0.81122,
276,0.80259,0.81747,0.81004,
277,0.80288,0.81751,0.80887,
278,0.80234,0.81675,0.80813,
279,0.80169,0.81559,0.80799,
280,0.80138,0.81424,0.80847,
281,0.80124,0.81238,0.80828,
282,0.80118,0.81008,0.80724,
283,0.80154,0.80805,0.80594,
284,0.80230,0.80590,0.80558,
285,0.80280,0.80388,0.80506,
286,0.80293,0.80155,0.80443,
287,0.80264,0.79896,0.80361,
288,0.80174,0.79695,0.80195,
289,0.80083,0.79436,0.79944,
290,0.79963,0.79194,0.79664,
291,0.79861,0.78994,0.79396,
292,0.79749,0.78817,0.79261,
293,0.79593,0.78701,0.79110,
294,0.79373,0.78543,0.78900,
295,0.79162,0.78336,0.78803,
296,0.78938,0.78239,0.78829,
297,0.78900,0.78191,0.78891,
298,0.78899,0.78073,0.79045,
299,0.78956,0.77913,0.79213,
300,0.78995,0.77820,0.79369,
301,0.79017,0.77702,0.79559,
302,0.79037,0.77559,0.79767,
303,0.79044,0.77527,0.79959,
304,0.79048,0.77710,0.80166,
305,0.79049,0.77907,0.80371,
306,0.79002,0.78081,0.80592,
307,0.78904,0.78247,0.80896,
308,0.78753,0.78382,0.81157,
309,0.78654,0.78477,0.81375,
310,0.78520,0.78517,0.81550,
311,0.78400,0.78501,0.81689,
312,0.78245,0.78483,0.81799,
313,0.78122,0.78434,0.81872,
314,0.78031,0.78440,0.82016,
315,0.78205,0.78409,0.82198,
316,0.78432,0.78415,0.82391,
317,0.78661,0.78421,0.82647,
318,0.78813,0.78403,0.82912,
319,0.78918,0.78399,0.83241,
320,0.78953,0.78393,0.83548,
321,0.78943,0.78472,0.83821,
322,0.78858,0.78528,0.84013,
323,0.78761,0.78567,0.84134,
324,0.78671,0.78610,0.84208,
325,0.78575,0.78597,0.84247,
326,0.78530,0.78711,0.84250,
327,0.78482,0.78949,0.84217,
328,0.78444,0.79111,0.84151,
329,0.78426,0.79188,0.84068,
330,0.78433,0.79223,0.84028,
331,0.78491,0.79270,0.83954,
332,0.78505,0.79380,0.83844,
333,0.78573,0.79497,0.83715,
334,0.78702,0.79571,0.83627,
335,0.78808,0.79588,0.83490,
336,0.78911,0.79552,0.83357,
337,0.79066,0.79523,0.83268,
338,0.79294,0.79473,0.83101,
339,0.79473,0.79471,0.82907,
340,0.79633,0.79426,0.82806,
341,0.79816,0.79410,0.82678,
342,0.80002,0.79403,0.82610,
343,0.80245,0.79464,0.82535,
344,0.80404,0.79513,0.82462,
345,0.80509,0.79535,0.82418,
346,0.80552,0.79510,0.82318,
347,0.80552,0.79475,0.82199,
348,0.80499,0.79510,0.82143,
349,0.80441,0.79507,0.82125,
350,0.80376,0.79620,0.82065,
351,0.80279,0.79726,0.82019,
352,0.80237,0.79860,0.82041,
353,0.80143,0.80014,0.82005,
354,0.80052,0.80330,0.81906,
355,0.79965,0.80675,0.81799,
356,0.79972,0.80997,0.81685,
357,0.79964,0.81266,0.81710,
358,0.79983,0.81484,0.81742,
359,0.80017,0.81660,0.81737,
360,0.80049,0.81774,0.81673,
361,0.80086,0.81922,0.81577,
362,0.80077,0.81992,0.81504,
363,0.79990,0.82027,0.81467,
364,0.79869,0.82076,0.81488,
365,0.79769,0.82173,0.81628,
366,0.79654,0.82238,0.81785,
367,0.79548,0.82262,0.81874,
368,0.79486,0.82281,0.81972,
369,0.79449,0.82355,0.82086,
370,0.79371,0.82418,0.82162,
371,0.79300,0.82447,0.82231,
372,0.79248,0.82486,0.82356,
373,0.79138,0.82510,0.82518,
374,0.79102,0.82542,0.82732,
375,0.79174,0.82628,0.82920,
376,0.79392,0.82701,0.83166,
377,0.79657,0.82770,0.83381,
378,0.79842,0.82789,0.83585,
379,0.79979,0.82785,0.83787,
380,0.80138,0.82818,0.84003,
381,0.80315,0.82839,0.84292,
382,0.80474,0.82867,0.84546,
383,0.80575,0.82996,0.84764,
384,0.80624,0.83064,0.84900,
385,0.80627,0.83103,0.85033,
386,0.80651,0.83078,0.85168,
387,0.80770,0.83035,0.85286,
388,0.80961,0.83011,0.85489,
389,0.81111,0.82924,0.85706,
390,0.81242,0.82801,0.85835,
391,0.81337,0.82607,0.85953,
392,0.81398,0.82424,0.86112,
393,0.81392,0.82224,0.86246,
394,0.81308,0.81986,0.86326,
